spid,rating,COMMEQTA,LLPLOANS,COSTTOINCOME,ROE,LIQASSTA,SIZE
141126,7,0.088445,0.057333,0.58216,0.177753,0.374932,18.818966
342066,5,0.055974,0.00964,0.526015,-0.12258,0.497892,19.072266
366790,10,0.154322,0.014402,2.08455,-0.166647,0.087426,16.075995
146854,1,0.026977,0.002951,0.248881,0.102982,0.457657,18.101099
319262,2,0.096891,0.002645,0.544106,0.178183,0.148163,15.758143
108839,4,0.243929,0.01245,0.376091,0.044706,0.159678,21.068481
194899,8,0.05519,0.0111,0.366648,0.085728,0.143636,18.19853
328896,3,0.065772,0.008392,0.835077,0.06436,0.468299,20.162933
281447,9,0.04625,0.028977,0.524744,0.194159,0.112271,17.123021
402018,1,0.035714,0.002821,0.566363,0.099864,0.544101,18.342977
238380,2,0.041406,0.006612,0.503535,0.134524,0.101893,18.919556
176248,3,0.098084,0.008459,0.42399,0.020011,0.294109,17.501959
295507,4,0.099652,0.052048,0.58375,0.102763,0.075633,21.131752
150195,6,0.123279,0.01649,0.32141,0.375487,0.424867,19.746116
132863,8,0.307429,0.009575,0.599169,0.178988,0.109623,12.219718
315205,2,0.022045,-0.000732,0.482941,0.168617,0.362187,16.72685
148657,2,0.042889,0.004707,0.486606,0.172295,0.147932,18.792938
355967,4,0.14423,0.012912,0.743242,-0.042442,0.352478,20.449939
148148,3,0.085871,0.010752,0.658285,0.036526,0.325329,19.081216
236354,2,0.057812,0.003544,0.449798,0.215864,0.030475,21.206062
236961,9,0.016889,0.022944,0.898783,0.129656,0.425062,15.476782
252520,6,0.016895,0.082374,0.511868,0.328418,0.762511,18.357305
355137,4,0.1137,0.02422,0.709862,-0.002521,0.479288,19.036203
354246,3,0.139462,0.007146,0.689952,0.128539,0.36568,19.698334
387540,9,0.071218,0.013633,0.370064,0.003745,0.241365,16.418085
268727,7,0.167749,0.022479,0.585915,0.211333,0.415462,16.177509
276925,4,0.093099,0.025322,0.481191,-0.022812,0.284129,18.761188
325299,2,0.055939,0.004424,0.575704,0.159032,0.043074,17.444426
281216,2,0.050883,0.005704,0.715254,0.051426,0.046334,19.127892
172396,4,0.150966,0.067961,0.354526,0.171982,0.478443,19.4555
162866,7,0.048912,0.058884,0.778156,0.007484,0.06239,16.398579
141128,10,0.059765,0.022072,2.447583,-0.030307,0.083511,17.039709
188356,7,0.03296,0.050555,0.738531,-0.028942,0.389023,17.63495
272996,1,0.072514,0.001293,0.363518,0.087218,0.64152,18.303545
221197,10,0.134185,0.022578,1.196062,-0.214689,0.136654,16.728863
311481,5,0.14201,0.013498,0.886222,-0.047053,0.248131,21.349435
240539,9,0.10395,0.016522,0.467636,0.117684,0.50231,18.213119
358193,2,0.087656,0.003155,0.545682,0.064571,0.14112,20.030903
179359,7,0.120339,0.004574,0.410471,-0.064286,0.071822,18.32266
356876,9,0.111343,0.026978,0.403858,0.256,0.254306,19.193768
116937,1,0.054171,0.00235,0.653137,0.112278,0.179205,18.04404
263832,3,0.069922,0.004023,0.575101,0.015575,0.296781,17.322691
188451,2,0.070325,0.002631,0.714558,0.13902,0.085454,19.93053
380899,2,0.038264,0.003371,0.473991,0.108941,0.285475,17.88837
392343,1,0.030755,0.002684,0.441741,0.090049,0.132508,18.614594
175782,1,0.087891,0.001947,0.503485,0.100902,0.141224,18.219787
305337,6,0.034871,0.0155,0.422716,-0.353523,0.352463,17.580395
350801,7,0.02156,0.011073,0.418877,0.20572,0.297221,17.756291
351530,6,0.038375,0.013426,0.3071,0.426493,0.256243,17.566721
382445,9,0.095122,0.000685,0.580574,0.136149,0.36996,16.957337
390987,9,0.063325,0.016621,0.843226,-0.025251,0.285651,17.933409
353541,9,0.028474,0.015897,0.765752,-0.014061,0.168651,18.418442
218150,1,0.056435,0.001959,0.24573,0.075995,0.316161,18.025722
292241,9,0.026052,0.001682,0.369701,0.045925,0.098537,17.321376
333504,7,0.117277,0.007053,0.412498,0.057696,0.449662,16.886094
258746,4,0.06396,0.012657,0.431975,0.00067,0.074406,18.768478
109197,4,0.048066,0.011078,0.43024,0.163247,0.412804,15.58522
182485,9,0.068536,0.020005,0.70327,0.164607,0.341181,18.940916
153013,6,0.069029,0.016264,1.192752,-0.295666,0.179533,16.244913
265993,7,0.143245,0.049762,0.542622,0.140396,0.341308,19.229453
198482,7,0.136948,0.038425,0.442592,0.059731,0.285679,16.790349
387646,8,0.298483,0.013949,0.630836,0.195695,0.124243,16.153997
298302,9,0.034105,0.011903,0.444397,0.159241,0.359415,18.024042
162928,4,0.029891,0.002307,0.522032,0.118086,0.175685,19.185214
390352,6,0.017962,0.059917,0.968279,-0.059943,0.6114,21.176227
119718,6,0.05862,0.040064,1.454452,0.329044,0.237662,20.651591
156751,1,0.050518,0.002896,0.442683,0.101016,0.1532,19.147964
317400,4,0.174761,0.049188,0.574377,0.17563,0.099511,16.790818
210781,10,0.097894,0.017017,2.395792,-0.200371,0.174194,16.095987
122343,5,0.101055,0.005277,0.547418,0.210202,0.351762,15.949386
155716,3,0.063688,0.002707,0.673205,0.0049,0.098447,19.095225
268215,8,0.136927,0.01606,0.9029,0.079247,0.062186,15.106582
275418,9,0.116755,0.023223,0.762996,0.073095,0.166831,17.614166
257976,1,0.041643,0.001348,0.571712,0.06998,0.29296,18.376622
149015,3,0.043372,0.001319,0.737904,0.073536,0.187514,16.400162
216130,8,0.155545,0.010757,0.35059,0.184071,0.156212,11.657151
259514,9,0.077688,0.030319,0.805001,-0.012825,0.432575,18.037759
401321,5,0.089315,0.016196,0.294958,0.126351,0.237028,17.778073
198587,5,0.10663,0.00723,1.167213,0.004066,0.313493,19.521713
386084,7,0.020804,0.006444,0.380747,0.122749,0.078939,19.182706
383003,1,0.02764,0.00299,0.579972,0.075334,0.639298,18.919281
289214,3,0.15841,0.010581,0.491094,0.044841,0.069231,16.844051
255476,3,0.034521,0.012292,0.759308,0.12174,0.31613,17.243947
146900,3,0.063891,0.00666,0.282568,0.209151,0.133993,19.280477
183510,5,0.016555,0.000871,0.459376,0.18024,0.036749,18.226372
248031,8,0.138487,0.008899,0.841691,0.000786,0.1562,14.10214
242901,6,0.038592,0.050491,1.371727,-0.235746,0.513268,18.155481
345753,8,0.201805,0.009753,0.754284,0.071229,0.212998,17.763133
282625,4,0.118269,0.053752,0.46465,0.204691,0.046116,19.071992
256788,3,0.108816,0.003628,0.736355,0.170622,0.155872,19.968945
334904,10,0.082671,0.012975,1.382624,-0.010967,0.025419,16.009027
330953,2,0.021156,-0.001289,0.479023,0.217161,0.289395,20.30479
186736,5,0.090105,0.005247,0.361512,0.022339,0.6503,16.053219
